id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1163	fault zone	-0.8719	-0.2097	4	27	33	5	2020	11.8	3.2082
1165	fault zones	-0.1732	1.0597	2	26	40	5	2011	15.8	0.9459
1166	faults	-0.498	0.6644	2	25	26	5	2014	5	0.7989
1175	field	-0.4858	-0.0433	3	109	253	33	2018.3636	13.0303	1.3694
1203	flow	0.1626	0.3619	2	76	116	23	2015.8696	10.3913	0.9343
1216	fluid	-0.6802	-0.6989	3	25	31	5	2017.4	6.6	0.5216
1220	fluid geochemistry	-0.8093	0.4855	9	56	96	14	2014.5	15.0714	1.1463
1226	fluid-flow	-0.299	0.9752	2	44	81	11	2014.1818	14.7273	1.8686
1229	fluids	-0.6128	-0.1632	8	75	107	19	2013.6316	11.2632	1.1805
1230	fluoride	-0.1799	0.1331	6	24	26	5	2012.4	37	2.9156
1239	fluxes	-0.4155	0.0398	7	30	39	7	2015.8571	19.1429	1.2724
1257	fractionation	-0.0031	-0.6383	7	44	55	10	2012.2	17.1	0.9876
1267	free-living amebas	0.6442	-0.1595	1	12	19	7	2012.7143	22.7143	1.5285
1275	fresh-water	0.7385	-0.3384	1	21	21	5	2014.6	15.8	1.1567
1287	fumaroles	-1.0164	0.0376	9	32	44	6	2005.8333	30	1.7269
1305	gas	-0.2974	-0.4064	3	28	35	5	2008	49.6	2.0325
1309	gas geochemistry	-1.2128	-0.1601	4	30	47	8	2015	4.875	0.8351
1314	gases	-0.5446	-0.0032	9	66	124	19	2008.8421	26.4737	1.5659
1320	gen. nov.	0.997	-0.5056	1	21	25	5	2018.2	9.8	0.8535
1324	genesis	-0.8236	0.3097	4	38	47	8	2018.375	6.875	1.7261
1357	geochemistry	-0.4265	-0.1229	3	199	843	127	2014.1811	13.8346	1.2064
1374	geothermal	-0.6511	0.1197	4	57	99	18	2013.8333	14.1111	0.9175
1376	geothermal area	-0.8228	-0.4078	10	29	38	6	2015.5	6.3333	0.7782
1379	geothermal energy	-0.3391	0.382	7	26	33	9	2016.5556	6.7778	1.1066
1384	geothermal fluids	-0.6058	-0.5047	3	33	42	5	2019.6	11	1.3356
1395	geothermal resources	-0.3869	-0.9367	5	23	34	9	2010	6.1111	1.3
1397	geothermal springs	0.0503	0.2097	10	60	94	16	2017.3125	18	1.7067
1399	geothermal system	-0.3449	0.5796	2	59	101	15	2015.9333	9.7333	0.9059
1400	geothermal systems	-0.6389	0.5584	2	45	62	10	2012.5	15.9	0.8611
1402	geothermal water	-0.272	0.0552	3	33	38	9	2016.1111	8.5556	0.7909
1403	geothermal waters	-0.0633	-0.6092	5	74	108	19	2011.8947	13.7895	0.9378
1407	geothermal-energy	0.5227	0.1234	1	25	29	5	2017.2	12.2	1.2618
1409	geothermal-field	-0.8031	-0.1195	9	52	81	12	2016.1667	12.25	0.9014
1412	geothermometer	-0.9017	0.1356	2	76	132	23	2011.2174	16.3043	1.0464
1413	geothermometers	-0.7371	0.5591	4	69	127	21	2015.1429	11.4762	1.2096
1414	geothermometry	-0.7342	0.1435	6	133	451	64	2014.4688	13.5312	1.1459
1464	greece	-0.1508	-0.6175	5	40	57	10	2007.8	24.1	1.284
1478	groundwater	-0.0824	-0.2183	5	185	659	101	2016.396	12.1584	1.2058
1486	groundwater flow	-0.0869	0.8628	2	26	35	5	2010.8	15.4	0.9945
1497	groundwater quality	0.1656	0.4523	4	24	30	5	2020.4	3.2	0.5075
1501	groundwater recharge	0.3706	0.8532	6	20	24	5	2019.4	11.4	1.6532
1510	groundwater-flow	-0.1849	0.6076	2	68	100	14	2013.5	22.6429	2.2896
